orgao,categoria,campo,item,categoria_dj,incide_teto_segundo_cnj,incide_teto_segundo_dj
TJAL,contracheque,Normal,Subsídio,Remuneração,S,NA
TJAL,contracheque,Normal,Diárias,Diárias,N,NA
TJAL,contracheque,Normal,Remuneração do órgão de origem,Remuneração,S,NA
TJAL,contracheque,Normal,Descontos Diversos,Descontos,Não se aplica,NA
TJAL,contracheque,Normal,Retenção por Teto Constitucional,Descontos,Não se aplica,NA
TJAL,contracheque,Normal,Previdência Pública,Descontos,Não se aplica,NA
TJAL,contracheque,Normal,Imposto de renda,Descontos,Não se aplica,NA
TJAL,direitos-eventuais,Normal,Pagamentos retroativos,Opaco,Impossível Saber,NA
TJAL,direitos-eventuais,Normal,Indenização de férias,Opaco,N,NA
TJAL,direitos-eventuais,Normal,Antecipação de gratificação natalina,Benefício,N,NA
TJAL,direitos-eventuais,Normal,Abono constitucional de 1/3 de férias,Benefício,N,NA
TJAL,direitos-eventuais,Normal,Gratificação por exercício cumulativo,Remuneração,S,NA
TJAL,direitos-eventuais,Normal,Gratificação natalina,Benefício,N,NA
TJAL,direitos-eventuais,Normal,Substituição,Remuneração,S,NA
TJAL,direitos-eventuais,Normal,Antecipação de férias,Opaco,N,NA
TJAL,direitos-eventuais,Normal,Gratificação por encargo Curso/Concurso,Remuneração,N,S
TJAL,direitos-eventuais,Normal,JETON,Penduricalho,N,S
TJAL,direitos-pessoais,Normal,Abono de permanência,Benefício,N,NA
TJAL,indenizações,Normal,Auxílio-alimentação,Penduricalho,N,NA
TJAL,indenizações,Normal,Auxílio Moradia,Penduricalho,N,NA
TJAL,indenizações,Normal,Auxílio Saúde,Penduricalho,N,NA
TJAL,indenizações,Normal,Ajuda de Custo,Penduricalho,N,NA
TJAL,indenizações,Normal,Auxílio Natalidade,Penduricalho,N,NA
TJAL,indenizações,Normal,Auxílio Pré-escolar,Penduricalho,N,NA
TJAL,Direitos eventuais,Detalhe,"EXERCICIO PRESIDENCIA, VICE-PRESIDENCIA E CORREGEDORIA",NA,NA,NA
TJAL,Indenizações,Detalhe,GRATIFICAÇÃO ACERVO,NA,NA,NA
TJPB,contracheque,Normal,Subsídio,Remuneração,S,NA
TJPB,contracheque,Normal,Diárias,Diárias,N,NA
TJPB,contracheque,Normal,Remuneração do órgão de origem,Remuneração,S,NA
TJPB,contracheque,Normal,Descontos Diversos,Descontos,Não se aplica,NA
TJPB,contracheque,Normal,Retenção por Teto Constitucional,Descontos,Não se aplica,NA
TJPB,contracheque,Normal,Previdência Pública,Descontos,Não se aplica,NA
TJPB,contracheque,Normal,Imposto de renda,Descontos,Não se aplica,NA
TJPB,direitos-eventuais,Normal,Pagamentos retroativos,Opaco,Impossível Saber,NA
TJPB,direitos-eventuais,Normal,Indenização de férias,Opaco,N,NA
TJPB,direitos-eventuais,Normal,Antecipação de gratificação natalina,Benefício,N,NA
TJPB,direitos-eventuais,Normal,Abono constitucional de 1/3 de férias,Benefício,N,NA
