orgao,ano,mes,procinfo.cmd,status
tjrr,2019,9,"docker run -i -v consolida_bkp_tjrr_2019:/home/danielfireman/repos/dadosjusbr/cnj-exec/tjrr_2019/output --rm --env YEAR=""2019"" --env COURT=""TJRR"" --env AID=""TJRR"" --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" --env GENERAL_TIMEOUT=""8m"" --env OUTPUT_FOLDER=""/home/danielfireman/repos/dadosjusbr/cnj-exec/tjrr_2019/output"" --env MONTH=""09"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjpi,2019,4,"docker run -i -v consolida_bkp_tjpi_2019:/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2019/output --rm --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" --env GENERAL_TIMEOUT=""8m"" --env OUTPUT_FOLDER=""/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2019/output"" --env MONTH=""04"" --env YEAR=""2019"" --env COURT=""TJPI"" --env AID=""TJPI"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjpi,2019,5,"docker run -i -v consolida_bkp_tjpi_2019:/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2019/output --rm --env GENERAL_TIMEOUT=""8m"" --env OUTPUT_FOLDER=""/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2019/output"" --env MONTH=""05"" --env YEAR=""2019"" --env COURT=""TJPI"" --env AID=""TJPI"" --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjpi,2019,6,"docker run -i -v consolida_bkp_tjpi_2019:/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2019/output --rm --env OUTPUT_FOLDER=""/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2019/output"" --env MONTH=""06"" --env YEAR=""2019"" --env COURT=""TJPI"" --env AID=""TJPI"" --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" --env GENERAL_TIMEOUT=""8m"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjpi,2019,7,"docker run -i -v consolida_bkp_tjpi_2019:/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2019/output --rm --env AID=""TJPI"" --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" --env GENERAL_TIMEOUT=""8m"" --env OUTPUT_FOLDER=""/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2019/output"" --env MONTH=""07"" --env YEAR=""2019"" --env COURT=""TJPI"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjpi,2019,8,"docker run -i -v consolida_bkp_tjpi_2019:/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2019/output --rm --env OUTPUT_FOLDER=""/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2019/output"" --env MONTH=""08"" --env YEAR=""2019"" --env COURT=""TJPI"" --env AID=""TJPI"" --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" --env GENERAL_TIMEOUT=""8m"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjpi,2019,9,"docker run -i -v consolida_bkp_tjpi_2019:/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2019/output --rm --env TIME_BETWEEN_STEPS=""15s"" --env GENERAL_TIMEOUT=""8m"" --env OUTPUT_FOLDER=""/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2019/output"" --env MONTH=""09"" --env YEAR=""2019"" --env COURT=""TJPI"" --env AID=""TJPI"" --env DOWNLOAD_TIMEOUT=""20s"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjpi,2019,10,"docker run -i -v consolida_bkp_tjpi_2019:/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2019/output --rm --env TIME_BETWEEN_STEPS=""15s"" --env GENERAL_TIMEOUT=""8m"" --env OUTPUT_FOLDER=""/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2019/output"" --env MONTH=""10"" --env YEAR=""2019"" --env COURT=""TJPI"" --env AID=""TJPI"" --env DOWNLOAD_TIMEOUT=""20s"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjpi,2019,11,"docker run -i -v consolida_bkp_tjpi_2019:/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2019/output --rm --env OUTPUT_FOLDER=""/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2019/output"" --env MONTH=""11"" --env YEAR=""2019"" --env COURT=""TJPI"" --env AID=""TJPI"" --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" --env GENERAL_TIMEOUT=""8m"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjpi,2019,12,"docker run -i -v consolida_bkp_tjpi_2019:/home/danielfireman/repos/dadosjusbr/cnj-exec/tjpi_2019/output --rm --env MONTH=""12"" --env YEAR=""2019"" --env COURT=""TJPI"" --env AID=""TJPI"" --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" --env GENERAL_TIMEOUT=""8m"" --env OUTPUT_FOLDER=""/home/danielfireman/repos/dadosjusbr/cnj-exec/tjpi_2019/output"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjpi,2020,1,"docker run -i -v consolida_bkp_tjpi_2020:/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2020/output --rm --env TIME_BETWEEN_STEPS=""15s"" --env GENERAL_TIMEOUT=""8m"" --env OUTPUT_FOLDER=""/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2020/output"" --env MONTH=""01"" --env YEAR=""2020"" --env COURT=""TJPI"" --env AID=""TJPI"" --env DOWNLOAD_TIMEOUT=""20s"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjpi,2020,2,"docker run -i -v consolida_bkp_tjpi_2020:/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2020/output --rm --env OUTPUT_FOLDER=""/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2020/output"" --env MONTH=""02"" --env YEAR=""2020"" --env COURT=""TJPI"" --env AID=""TJPI"" --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" --env GENERAL_TIMEOUT=""8m"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjpi,2020,3,"docker run -i -v consolida_bkp_tjpi_2020:/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2020/output --rm --env TIME_BETWEEN_STEPS=""15s"" --env GENERAL_TIMEOUT=""8m"" --env OUTPUT_FOLDER=""/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2020/output"" --env MONTH=""03"" --env YEAR=""2020"" --env COURT=""TJPI"" --env AID=""TJPI"" --env DOWNLOAD_TIMEOUT=""20s"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjpi,2020,4,"docker run -i -v consolida_bkp_tjpi_2020:/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2020/output --rm --env GENERAL_TIMEOUT=""8m"" --env OUTPUT_FOLDER=""/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2020/output"" --env MONTH=""04"" --env YEAR=""2020"" --env COURT=""TJPI"" --env AID=""TJPI"" --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjpi,2020,5,"docker run -i -v consolida_bkp_tjpi_2020:/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2020/output --rm --env COURT=""TJPI"" --env AID=""TJPI"" --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" --env GENERAL_TIMEOUT=""8m"" --env OUTPUT_FOLDER=""/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2020/output"" --env MONTH=""05"" --env YEAR=""2020"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjpi,2020,6,"docker run -i -v consolida_bkp_tjpi_2020:/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2020/output --rm --env GENERAL_TIMEOUT=""8m"" --env OUTPUT_FOLDER=""/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2020/output"" --env MONTH=""06"" --env YEAR=""2020"" --env COURT=""TJPI"" --env AID=""TJPI"" --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjpi,2020,7,"docker run -i -v consolida_bkp_tjpi_2020:/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2020/output --rm --env TIME_BETWEEN_STEPS=""15s"" --env GENERAL_TIMEOUT=""8m"" --env OUTPUT_FOLDER=""/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2020/output"" --env MONTH=""07"" --env YEAR=""2020"" --env COURT=""TJPI"" --env AID=""TJPI"" --env DOWNLOAD_TIMEOUT=""20s"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjpi,2020,8,"docker run -i -v consolida_bkp_tjpi_2020:/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2020/output --rm --env MONTH=""08"" --env YEAR=""2020"" --env COURT=""TJPI"" --env AID=""TJPI"" --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" --env GENERAL_TIMEOUT=""8m"" --env OUTPUT_FOLDER=""/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2020/output"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjpi,2020,9,"docker run -i -v consolida_bkp_tjpi_2020:/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2020/output --rm --env GENERAL_TIMEOUT=""8m"" --env OUTPUT_FOLDER=""/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2020/output"" --env MONTH=""09"" --env YEAR=""2020"" --env COURT=""TJPI"" --env AID=""TJPI"" --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjpi,2020,10,"docker run -i -v consolida_bkp_tjpi_2020:/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2020/output --rm --env GENERAL_TIMEOUT=""8m"" --env OUTPUT_FOLDER=""/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2020/output"" --env MONTH=""10"" --env YEAR=""2020"" --env COURT=""TJPI"" --env AID=""TJPI"" --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjpi,2020,11,"docker run -i -v consolida_bkp_tjpi_2020:/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2020/output --rm --env COURT=""TJPI"" --env AID=""TJPI"" --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" --env GENERAL_TIMEOUT=""8m"" --env OUTPUT_FOLDER=""/home/daniel/repos/dadosjubsr/dadosjusbr-exec/tjpi_2020/output"" --env MONTH=""11"" --env YEAR=""2020"" ghcr.io/dadosjusbr/parser-cnj:main",4
NA,2018,1,"docker run -i -v dadosjusbr:/output --rm --env OUTPUT_FOLDER=""/output"" --env MONTH=""01"" --env YEAR=""2018"" --env COURT=""TJPI"" --env GIT_COMMIT=""03e65785f5fea1d3b3fb205154f93f0f1a490da4"" parser-cnj",1
NA,2018,1,"docker run -i -v dadosjusbr:/output --rm --env OUTPUT_FOLDER=""/output"" --env MONTH=""01"" --env YEAR=""2018"" --env COURT=""TJPE"" coletor-cnj",1
NA,2018,1,"docker run -i -v dadosjusbr:/output --rm --env GENERAL_TIMEOUT=""2m"" --env OUTPUT_FOLDER=""/output"" --env MONTH=""01"" --env YEAR=""2018"" --env COURT=""TJPI"" coletor-cnj",1
NA,2018,1,"docker run -i -v dadosjusbr:/output --rm --env OUTPUT_FOLDER=""/output"" --env MONTH=""01"" --env YEAR=""2018"" --env COURT=""TJPI"" coletor-cnj",1
NA,2018,1,"docker run -i -v dadosjusbr:/output --rm --env COURT=""TJPI"" --env OUTPUT_FOLDER=""/output"" --env MONTH=""01"" --env YEAR=""2018"" coletor-cnj",1
NA,2018,1,"docker run -i -v dadosjusbr:/output --rm --env OUTPUT_FOLDER=""/output"" --env MONTH=""01"" --env YEAR=""2018"" --env COURT=""TJPI"" parser-cnj",1
tjpi,2020,12,"docker run -i -v coleta_tjpi_2020:/home/marcos/dadosjus/dadosjusbr-exec/tjpi_2020/output --rm --env YEAR=""2020"" --env COURT=""TJPI"" --env AID=""TJPI"" --env DOWNLOAD_TIMEOUT=""20s"" --env TIME_BETWEEN_STEPS=""15s"" --env GENERAL_TIMEOUT=""8m"" --env OUTPUT_FOLDER=""/home/marcos/dadosjus/dadosjusbr-exec/tjpi_2020/output"" --env MONTH=""12"" ghcr.io/dadosjusbr/parser-cnj:main",4
tjpi,2021,1,"docker run -i -v dadosjusbr:/output --rm --env DOWNLOAD_TIMEOUT=""20s"" --env GIT_COMMIT=""661905a772a017f326ae96c8abba46b68897341f"" --env TIME_BETWEEN_STEPS=""15s"" --env GENERAL_TIMEOUT=""8m"" --env MONTH=""01"" --env YEAR=""2021"" --env OUTPUT_FOLDER=""/output"" --env COURT=""TJPI"" parser-cnj",4
