orgao,media_indice_completude,media_indice_facilidade,media_indice_transparencia
tjac,0.4583333333333333,0.7333333333333334,0.5958333333333333
tjal,0.4574468085106383,0.7319148936170213,0.5946808510638298
tjam,0.4895833333333333,0.7833333333333333,0.6364583333333333
tjap,0.5,0.8,0.65
tjba,0.3191489361702128,0.5106382978723405,0.4148936170212766
tjce,0.2872340425531915,0.45957446808510644,0.37340425531914895
tjdft,0.4791666666666667,0.7666666666666667,0.6229166666666667
tjes,0.5,0.8,0.65
tjgo,0.5,0.8,0.65
tjma,0.5,0.8,0.65
tjmg,0.40625,0.65,0.5281250000000001
tjms,0.4895833333333333,0.7833333333333333,0.6364583333333333
tjmt,0.46875,0.75,0.609375
tjpa,0.4791666666666667,0.7666666666666667,0.6229166666666667
tjpb,0.5,0.8,0.65
tjpe,0.5,0.8,0.65
tjpi,0.1702127659574468,0.2723404255319149,0.22127659574468087
tjpr,0.4791666666666667,0.7666666666666667,0.6229166666666667
tjrj,0.5,0.8,0.65
tjrn,0.4787234042553192,0.7659574468085106,0.6223404255319149
tjro,0.5,0.8,0.65
tjrr,0.3229166666666667,0.5166666666666667,0.4197916666666667
tjrs,0.4791666666666667,0.7666666666666667,0.6229166666666667
tjsc,0.5,0.8,0.65
tjse,0.40625,0.65,0.5281250000000001
tjsp,0.4895833333333333,0.7833333333333333,0.6364583333333333
tjto,0.46875,0.75,0.609375
