orgao,media_indice_completude,media_indice_facilidade,media_indice_transparencia
mpal,1,0.7,0.85
mpam,1,0.6,0.8
mpap,0.8020833333333334,0.5958333333333333,0.6989583333333333
mpba,0.96875,0.65,0.809375
mpce,1,0.85,0.925
mpdft,1,0.7,0.85
mpgo,0.9680851063829787,0.8957446808510638,0.9319148936170213
mpmg,1,0.6957446808510638,0.847872340425532
mpms,1,0.7914893617021277,0.8957446808510638
mpmt,0.96875,0.6958333333333333,0.8322916666666667
mppb,0.9791666666666666,0.6854166666666667,0.8322916666666667
mppe,0.96875,0.8458333333333333,0.9072916666666667
mppi,0.8333333333333334,0.65,0.7416666666666667
mppr,0.8333333333333334,0.6958333333333333,0.7645833333333333
mprn,0.7916666666666667,0.6458333333333334,0.71875
mpro,0.9791666666666666,0.7833333333333333,0.88125
mpsc,0.8333333333333334,0.8,0.8166666666666667
mpse,0.9479166666666666,0.6322916666666667,0.7901041666666666
mpsp,1,0.6755319148936171,0.8377659574468085
mpto,1,0.6291666666666667,0.8145833333333333
stj,0.375,0.6000000000000001,0.48750000000000004
tjac,0.4583333333333333,0.7333333333333334,0.5958333333333333
tjal,0.4895833333333333,0.7833333333333333,0.6364583333333333
tjam,0.5,0.8,0.65
tjap,0.5,0.8,0.65
tjba,0.3229166666666667,0.5166666666666667,0.4197916666666667
tjce,0.2872340425531915,0.45957446808510644,0.37340425531914895
tjdft,0.4895833333333333,0.7833333333333333,0.6364583333333333
tjes,0.5,0.8,0.65
tjgo,0.5,0.8,0.65
tjma,0.5,0.8,0.65
tjmg,0.40625,0.65,0.5281250000000001
tjms,0.5,0.8,0.65
tjmt,0.46875,0.75,0.609375
tjpa,0.4895833333333333,0.7833333333333333,0.6364583333333333
tjpb,0.5,0.8,0.65
tjpe,0.5,0.8,0.65
tjpi,0.1595744680851064,0.25531914893617025,0.2074468085106383
tjpr,0.4895833333333333,0.7833333333333333,0.6364583333333333
tjrj,0.5,0.8,0.65
tjrn,0.4787234042553192,0.7659574468085106,0.6223404255319149
tjro,0.5,0.8,0.65
tjrr,0.3229166666666667,0.5166666666666667,0.4197916666666667
tjrs,0.4895833333333333,0.7833333333333333,0.6364583333333333
tjsc,0.5,0.8,0.65
tjse,0.4166666666666667,0.6666666666666667,0.5416666666666667
tjsp,0.5,0.8,0.65
tjto,0.46875,0.75,0.609375
NA,0,0,0
