id_contra_cheque,chave_coleta,nome,matricula,funcao,local_trabalho,tipo,ativo
tjsc/01/2021/1,tjsc/01/2021,ADEMIR WOLFF,,,,MEMBRO,true
tjsc/01/2021/2,tjsc/01/2021,ADILOR DANIELI,,,,MEMBRO,true
tjsc/01/2021/3,tjsc/01/2021,ADRIANA INACIO MESQUITA DE AZEVEDO HARTZ RESTUM,,,,MEMBRO,true
tjsc/01/2021/4,tjsc/01/2021,ADRIANA LISBOA,,,,MEMBRO,true
tjsc/01/2021/5,tjsc/01/2021,ADRIANA MENDES BERTONCINI,,,,MEMBRO,true
tjsc/01/2021/6,tjsc/01/2021,AIDE JOSE VALCARENGHI,,,,MEMBRO,true
tjsc/01/2021/7,tjsc/01/2021,ALAIDE MARIA NOLLI,,,,MEMBRO,true
tjsc/01/2021/8,tjsc/01/2021,ALCIDES DOS SANTOS AGUIAR,,,,MEMBRO,true
tjsc/01/2021/9,tjsc/01/2021,ALESSANDRA MAYRA DA SILVA DE OLIVEIRA,,,,MEMBRO,true
tjsc/01/2021/10,tjsc/01/2021,ALESSANDRA MENEGHETTI,,,,MEMBRO,true
tjsc/01/2021/11,tjsc/01/2021,ALEXANDRA LORENZI DA SILVA,,,,MEMBRO,true
tjsc/01/2021/12,tjsc/01/2021,ALEXANDRE DITTRICH BUHR,,,,MEMBRO,true
tjsc/01/2021/13,tjsc/01/2021,ALEXANDRE DIVANENKO,,,,MEMBRO,true
tjsc/01/2021/14,tjsc/01/2021,ALEXANDRE KARAZAWA TAKASCHIMA,,,,MEMBRO,true
tjsc/01/2021/15,tjsc/01/2021,ALEXANDRE MORAIS DA ROSA,,,,MEMBRO,true
tjsc/01/2021/16,tjsc/01/2021,ALEXANDRE MURILO SCHRAMM,,,,MEMBRO,true
tjsc/01/2021/17,tjsc/01/2021,ALIATAR FARIAS DE MEDEIROS,,,,MEMBRO,true
tjsc/01/2021/18,tjsc/01/2021,ALINE AVILA FERREIRA DOS SANTOS,,,,MEMBRO,true
tjsc/01/2021/19,tjsc/01/2021,ALINE MENDES DE GODOY,,,,MEMBRO,true
tjsc/01/2021/20,tjsc/01/2021,ALINE VASTY FERRANDIN,,,,MEMBRO,true
tjsc/01/2021/21,tjsc/01/2021,ALMIRO ZAGO,,,,MEMBRO,true
tjsc/01/2021/22,tjsc/01/2021,ALTAMIRO DE OLIVEIRA,,,,MEMBRO,true
tjsc/01/2021/23,tjsc/01/2021,ALVARO LUIZ PEREIRA DE ANDRADE,,,,MEMBRO,true
tjsc/01/2021/24,tjsc/01/2021,ALVARO WANDELLI FILHO,,,,MEMBRO,true
tjsc/01/2021/25,tjsc/01/2021,ANA CRISTINA BORBA ALVES,,,,MEMBRO,true
tjsc/01/2021/26,tjsc/01/2021,ANA CRISTINA DE OLIVEIRA AGUSTINI,,,,MEMBRO,true
tjsc/01/2021/27,tjsc/01/2021,ANA KARINA ARRUDA ANZANELLO,,,,MEMBRO,true
tjsc/01/2021/28,tjsc/01/2021,ANA LIA BARBOZA MOURA VIEIRA LISBOA CARNEIRO,,,,MEMBRO,true
tjsc/01/2021/29,tjsc/01/2021,ANA LUISA SCHMIDT RAMOS,,,,MEMBRO,true
tjsc/01/2021/30,tjsc/01/2021,ANA MARIA LEAL MENDES,,,,MEMBRO,true
tjsc/01/2021/31,tjsc/01/2021,ANA PAULA AMARO DA SILVEIRA,,,,MEMBRO,true
tjsc/01/2021/32,tjsc/01/2021,ANA VERA SGANZERLA TRUCCOLO,,,,MEMBRO,true
tjsc/01/2021/33,tjsc/01/2021,ANDDRE UDYLLO GAMAL DE DINIZ MESQUITA,,,,MEMBRO,true
tjsc/01/2021/34,tjsc/01/2021,ANDRE ALEXANDRE HAPPKE,,,,MEMBRO,true
tjsc/01/2021/35,tjsc/01/2021,ANDRE AUGUSTO MESSIAS FONSECA,,,,MEMBRO,true
tjsc/01/2021/36,tjsc/01/2021,ANDRE CARVALHO,,,,MEMBRO,true
tjsc/01/2021/37,tjsc/01/2021,ANDRE DA SILVA SILVEIRA,,,,MEMBRO,true
tjsc/01/2021/38,tjsc/01/2021,ANDRE LUIZ ANRAIN TRENTINI,,,,MEMBRO,true
tjsc/01/2021/39,tjsc/01/2021,ANDRE LUIZ DACOL,,,,MEMBRO,true
tjsc/01/2021/40,tjsc/01/2021,ANDRE LUIZ LOPES DE SOUZA,,,,MEMBRO,true
tjsc/01/2021/41,tjsc/01/2021,ANDRE LUIZ ROMANELLI TIBURCIO ALVES,,,,MEMBRO,true
tjsc/01/2021/42,tjsc/01/2021,ANDRE MILANI,,,,MEMBRO,true
tjsc/01/2021/43,tjsc/01/2021,ANDREA CRISTINA RODRIGUES STUDER,,,,MEMBRO,true
tjsc/01/2021/44,tjsc/01/2021,ANDREA REGINA CALICCHIO,,,,MEMBRO,true
tjsc/01/2021/45,tjsc/01/2021,ANDREIA CORTEZ GUIMARAES PARREIRA,,,,MEMBRO,true
tjsc/01/2021/46,tjsc/01/2021,ANDREIA REGIS VAZ,,,,MEMBRO,true
tjsc/01/2021/47,tjsc/01/2021,ANDRESA BERNARDO,,,,MEMBRO,true
tjsc/01/2021/48,tjsc/01/2021,ANGELICA FASSINI,,,,MEMBRO,true
tjsc/01/2021/49,tjsc/01/2021,ANNA FINKE SUSZEK,,,,MEMBRO,true
tjsc/01/2021/50,tjsc/01/2021,ANSELMO CERELLO,,,,MEMBRO,true
tjsc/01/2021/51,tjsc/01/2021,ANTONIO AUGUSTO BAGGIO E UBALDO,,,,MEMBRO,true
tjsc/01/2021/52,tjsc/01/2021,ANTONIO CARLOS ANGELO,,,,MEMBRO,true
tjsc/01/2021/53,tjsc/01/2021,ANTONIO CARLOS ANSELMO,,,,MEMBRO,true
tjsc/01/2021/54,tjsc/01/2021,ANTONIO CARLOS BOTTAN,,,,MEMBRO,true
tjsc/01/2021/55,tjsc/01/2021,ANTONIO CARLOS JUNCKES DOS SANTOS,,,,MEMBRO,true
tjsc/01/2021/56,tjsc/01/2021,ANTONIO DO REGO MONTEIRO ROCHA,,,,MEMBRO,true
tjsc/01/2021/57,tjsc/01/2021,ANTONIO FERNANDO DO AMARAL E SILVA,,,,MEMBRO,true
tjsc/01/2021/58,tjsc/01/2021,ANTONIO MARCOS DECKER,,,,MEMBRO,true
tjsc/01/2021/59,tjsc/01/2021,ANTONIO ZOLDAN DA VEIGA,,,,MEMBRO,true
tjsc/01/2021/60,tjsc/01/2021,ANUSKA FELSKI DA SILVA,,,,MEMBRO,true
tjsc/01/2021/61,tjsc/01/2021,ARIOVALDO ROGERIO RIBEIRO DA SILVA,,,,MEMBRO,true
tjsc/01/2021/62,tjsc/01/2021,ARLINDO BERNART,,,,MEMBRO,true
tjsc/01/2021/63,tjsc/01/2021,ARTUR JENICHEN FILHO,,,,MEMBRO,true
tjsc/01/2021/64,tjsc/01/2021,AUGUSTO CESAR ALLET AGUIAR,,,,MEMBRO,true
tjsc/01/2021/65,tjsc/01/2021,AUGUSTO CESAR BECKER,,,,MEMBRO,true
tjsc/01/2021/66,tjsc/01/2021,AULO SANFORD DE VASCONCELLOS,,,,MEMBRO,true
tjsc/01/2021/67,tjsc/01/2021,BERNARDO AUGUSTO ERN,,,,MEMBRO,true
tjsc/01/2021/68,tjsc/01/2021,BERTHA STECKERT REZENDE,,,,MEMBRO,true
tjsc/01/2021/69,tjsc/01/2021,BETTINA MARIA MARESCH DE MOURA,,,,MEMBRO,true
tjsc/01/2021/70,tjsc/01/2021,BIANCA FERNANDES FIGUEIREDO,,,,MEMBRO,true
tjsc/01/2021/71,tjsc/01/2021,BRIGITTE REMOR DE SOUZA MAY,,,,MEMBRO,true
tjsc/01/2021/72,tjsc/01/2021,BRUNA CANELLA BECKER BURIGO,,,,MEMBRO,true
tjsc/01/2021/73,tjsc/01/2021,BRUNA LUIZA HOFFMANN,,,,MEMBRO,true
tjsc/01/2021/74,tjsc/01/2021,BRUNO MAKOWIECKY SALLES,,,,MEMBRO,true
tjsc/01/2021/75,tjsc/01/2021,BRUNO SANTOS VILELA,,,,MEMBRO,true
tjsc/01/2021/76,tjsc/01/2021,CAIO LEMGRUBER TABORDA,,,,MEMBRO,true
tjsc/01/2021/77,tjsc/01/2021,CAMILA COELHO,,,,MEMBRO,true
tjsc/01/2021/78,tjsc/01/2021,CAMILA MENEGATTI,,,,MEMBRO,true
tjsc/01/2021/79,tjsc/01/2021,CAMILA MURARA NICOLETTI,,,,MEMBRO,true
tjsc/01/2021/80,tjsc/01/2021,CANDIDA INES ZOELLNER BRUGNOLI,,,,MEMBRO,true
tjsc/01/2021/81,tjsc/01/2021,CARLOS ADILSON SILVA,,,,MEMBRO,true
tjsc/01/2021/82,tjsc/01/2021,CARLOS ALBERTO CIVINSKI,,,,MEMBRO,true
tjsc/01/2021/83,tjsc/01/2021,CARLOS ALBERTO DA ROCHA,,,,MEMBRO,true
tjsc/01/2021/84,tjsc/01/2021,CARLOS ANDRE MOREIRA,,,,MEMBRO,true
tjsc/01/2021/85,tjsc/01/2021,CARLOS HENRIQUE GUTZ LEITE DE CASTRO,,,,MEMBRO,true
tjsc/01/2021/86,tjsc/01/2021,CARLOS PRUDENCIO,,,,MEMBRO,true
tjsc/01/2021/87,tjsc/01/2021,CARLOS ROBERTO DA SILVA,,,,MEMBRO,true
tjsc/01/2021/88,tjsc/01/2021,CAROLINA CANTARUTTI DENARDIN,,,,MEMBRO,true
tjsc/01/2021/89,tjsc/01/2021,CAROLINA RANZOLIN NERBASS,,,,MEMBRO,true
tjsc/01/2021/90,tjsc/01/2021,CAROLINE ANTUNES DE OLIVEIRA MARQUES,,,,MEMBRO,true
tjsc/01/2021/91,tjsc/01/2021,CAROLINE BUNDCHEN FELISBINO TEIXEIRA,,,,MEMBRO,true
tjsc/01/2021/92,tjsc/01/2021,CAROLINE FREITAS GRANJA,,,,MEMBRO,true
tjsc/01/2021/93,tjsc/01/2021,CASSIO JOSE LEBARBENCHON ANGULSKI,,,,MEMBRO,true
tjsc/01/2021/94,tjsc/01/2021,CATHERINE RECOUVREUX,,,,MEMBRO,true
tjsc/01/2021/95,tjsc/01/2021,CELSO HENRIQUE DE CASTRO BAPTISTA VALLIM,,,,MEMBRO,true
tjsc/01/2021/96,tjsc/01/2021,CESAR AUGUSTO MIMOSO RUIZ ABREU,,,,MEMBRO,true
tjsc/01/2021/97,tjsc/01/2021,CESAR AUGUSTO VIVAN,,,,MEMBRO,true
tjsc/01/2021/98,tjsc/01/2021,CESAR OTAVIO SCIREA TESSEROLI,,,,MEMBRO,true
tjsc/01/2021/99,tjsc/01/2021,CHRISTIAN DALLA ROSA,,,,MEMBRO,true
tjsc/01/2021/100,tjsc/01/2021,CIBELLE MENDES BELTRAME,,,,MEMBRO,true
tjsc/01/2021/101,tjsc/01/2021,CID JOSE GOULART JUNIOR,,,,MEMBRO,true
tjsc/01/2021/102,tjsc/01/2021,CINTHIA BEATRIZ DA SILVA BITTENCOURT SCHAEFER,,,,MEMBRO,true
tjsc/01/2021/103,tjsc/01/2021,CINTIA GONCALVES COSTI,,,,MEMBRO,true
